Exchange;End 1990;End 1991;End 1992;End 1993;End 1994;End 1995;End 1996;End 1997;End 1998;End 1999;End 2000;End 2001;End 2002;End 2003
Amex;29458.7;18859;16862;12435.4;8490.7;9752.1;NA;NA;NA;19520.3;22597;NA;NA;NA
Bermuda;NA;NA;NA;NA;NA;NA;NA;NA;53.5;54.9;45;43.5;395.6;425.1
Buenos Aires;7493.8;10345.4;9385.1;23115.2;35642;41768.2;57030.5;69453.9;58797.9;60116;60276.4;54852;29390.7;43914.4
Lima;NA;NA;NA;NA;NA;765.1;1204.3;1458.4;1456.6;1819.8;2273.2;3824.6;4514.6;4806.7
Mexico;1608.8;28848.3;27166;17385;12310.9;9093;10893.7;13727.6;11535.1;14113;13231.7;14943.6;15702.6;22673.6
Nasdaq;NA;555.7;601.6;775;522.4;566.5;457;7234.3;304.2;171.5;92.4;NA;NA;NA
NYSE;1610175;2227010;2044122;2528437;2367406;2747775;2862382;2625357;2554122;2401605;2124789;1653549;1378275;1272000
Santiago;8911;9207.2;12695.5;15765;19184.1;20948.9;27854.2;27433.5;27624.6;25530.4;25592.6;26913.6;24399;NA
Sao Paulo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2574;3965.5;7305.8
TSX Group;1943.5;NA;1236.5;2155.5;2720.7;1411.4;1182.5;774;586;561;2047.6;1707.9;4434.3;5890.9
Athens;NA;NA;NA;NA;49215.9;72204.9;70936.7;48410.3;81416.8;79482;NA;72282.4;119343.6;170559.4
Borsa Italiana;NA;681058.7;640448.8;584436.3;685692.7;831885.7;1206109;1069368;NA;1030892.3;1001586.3;980840.4;1186513.4;1934133.1
Budapest;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12799.4;26039.8;32945.1
Copenhagen;229345.6;249869.1;248219;293779.2;279700.3;337603.8;329254.8;291643.5;323199;265628.1;253760.6;264534.5;339432.8;433541
Deutsche Boerse;NA;1281371.6;1390413.6;1546466.8;1886436.2;2180550.6;2182353.4;2021783;2480188;2076464.9;NA;NA;NA;NA
Euronext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1085057.1;NA;NA
Euronext Amsterdam;166308.3;182777.7;197523.9;223030.6;239203.6;320197.1;341153.3;334786.4;379939.6;347947.3;248697.8;248697.8;NA;NA
Euronext Brussels;129849.9;151898.2;371097.7;170876.2;178737.4;239808.8;237909.2;210811.2;247043;210527;205958;205958;NA;NA
Euronext Lisbon;NA;NA;NA;NA;NA;39850.2;42868.3;38687.6;49604.3;47569.9;49009.1;49009.1;NA;NA
Euronext Paris;504769.5;558668.4;576553.5;656588.5;691872.5;845078.2;878151.2;777524.4;886771.8;765089.7;731449.6;731449.6;NA;NA
Helsinki;NA;19623.5;17888.8;20444.8;29209.8;33220.8;45486.2;47235.2;51649.1;NA;NA;NA;NA;NA
Irish;NA;NA;NA;NA;NA;NA;29140;29814.7;28980.5;16835.7;19481.7;17175.7;23269.8;37804
Istanbul ;NA;199.7;14569.3;17706.3;16410.9;20508.7;25879.5;36710;37419.2;42962.5;54380.2;84488.8;92955.3;141811.8
Ljubljana;NA;NA;NA;NA;NA;NA;371.2;495.1;896.7;1113.8;1121.1;1469.7;3124.5;4661.2
London;576291;597306;599847.7;875953.1;909535.1;997945.5;1162796;978000.2;1232655.2;1363347.3;1423663;1407766;1601035.4;2341720.4
Luxembourg;1004607.8;1177481.9;1207764;1249183.3;1470630.9;1622801.7;1649720.5;1787454.2;2173260.3;2582259;3155766.3;4152901.1;4884678.8;6044037.2
Malta;NA;NA;NA;NA;NA;NA;NA;NA;1841.3;1950.2;NA;2143;2582.2;3509.7
Oslo;47839.4;44543.2;37837.5;44964.3;46944.5;52675;53723.6;52335.2;55157.6;46460.1;42171.1;47276;71438.4;79546.1
Spanish Exchanges (BME);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Stockholmsborsen;NA;105863.9;96574;120453;121872.5;NA;257771.6;201018.3;NA;NA;NA;NA;154110;221151.9
Swiss Exchange;158487.1;166984.7;185635;195972.4;216777.1;279469;248229.7;243411.5;282389.5;249783.2;246307.3;240402.9;311445.5;364851.8
Tel-Aviv;23791.5;29489.5;30681;31762.9;33217.7;36815.8;40621.4;40900.7;37429.1;39586.2;41368.6;44068.9;44497.7;57311.9
Warsaw;NA;NA;NA;1132.4;2104.5;5238.2;9231.7;9255.3;14725.2;14144.8;17953.5;26840.5;40943.5;49065.8
Wiener Boerse;76343.8;82490.1;83556.6;91311.1;103346;122959.2;117295.9;106557.1;122919.5;111691.9;114109.5;108593.2;156662.5;464134.7
Australian;46436.5;49519.2;60846.5;72443.5;84295.7;86869;94004;76107.6;68329.2;76697.4;59101;48456.6;54988.4;68282.9
Bursa Malaysia;541.1;836.8;2028.1;4591.7;3865.3;3497.4;3444.3;1788.1;1310.5;1752.6;1563.2;1002.2;1498.1;2205.3
Colombo;NA;NA;NA;NA;NA;NA;NA;5.3;46.6;64.4;70.2;78.6;115.1;106.9
Hong Kong;657.3;637.9;NA;NA;NA;NA;NA;NA;110438.3;98910;89401;77964.8;66219.2;56535.6
Korea;NA;81126;82791;97791.7;129989.8;162420.9;208166.5;132222.2;277787.8;321706.1;335718.3;384263.3;471151.3;509877.5
Mumbai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5776.7;8100.1
National Stock Exchange India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;177630.9;179419.9;258394.7
New Zealand;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16081.3;19469
Osaka;953624.4;1126494.5;1244833.8;1552109.1;1742762;1917467.6;1890247.5;1785308.4;2253635.7;2624293.4;2535507.1;2838845.5;3665257.4;4462898.1
Philippine;NA;NA;NA;NA;NA;NA;5.5;3.7;0;0;0;551.1;559.7;543.5
Shanghai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29040.1;43974.2;70761.1
Shenzhen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;498.5;1669.5;2357.5
Singapore;98697.7;100204;101297.9;119038.7;153231.6;150539.3;161239.1;171625.9;182946.2;198938.9;218791.5;252149.5;259100.5;276194.9
Taiwan;NA;13474.8;20865.5;26298.8;30320.5;31813;36750.4;32919.1;36577.9;44370;48455.4;56011.6;65619.7;77467.1
Thailand;148.3;144;84.2;4027.9;2681.4;1944.5;926.8;351;352.3;155.5;NA;NA;0;3549.7
Tokyo;978895.3;1157925.5;1276878.6;1598810.6;1796520.1;1969067.8;1931293;1814982.4;2219012;2639619.2;2548332;NA;NA;NA
