Exchange;End 1990;End 1991;End 1992;End 1993;End 1994;End 1995;End 1996;End 1997;End 1998;End 1999;End 2000;End 2001;End 2002;End 2003
Lisbon;NA;NA;NA;NA;NA;NA;NA;NA;133017.3;166736;38156.9;1514.8;NA;NA
Ljubljana;NA;NA;NA;NA;257.8;175.1;94.2;71.8;132.9;191.5;250.2;211.2;462.7;630.2
London;1019053;1099535.8;1149428.1;1259366.7;1248464.1;1316177.3;1621869.6;NA;1590731.1;1365698.8;1205792.3;1546063.1;1675876.2;2175751.2
Luxembourg;595.1;834.7;852.1;700.1;496.9;678.1;1997.5;7375.4;1535.2;1213.6;913.9;1457.1;1158.9;431.8
Malta;NA;NA;NA;NA;NA;NA;NA;NA;292.4;131.1;154;330.7;127.6;156
Oslo;50238.1;70918;80485.9;221796.9;169693.1;162683.3;167366.2;171368.1;149693.5;99034.3;83587.5;73125.6;93073.6;134368
Spanish Exchanges (BME);4373.6;5316.5;8730.2;13615.4;33774.9;34560.4;73677.7;27427.9;2125;1669.3;647.9;438.9;NA;156
Stockholmsbörsen;180.8;336.7;501.9;676.9;1012.4;NA;1764.7;1600.2;1642418.5;1574813.3;783175.3;660925.7;997328.4;1245006.9
Swiss Exchange;NA;NA;NA;104174.7;89674.2;169071.3;209585.9;132168.9;155838.6;111474.3;90604.3;128910.5;163598.3;182132.6
Tel-Aviv;4594.2;5787.9;7191.7;7471;6602.4;8840.5;13939.2;13217.5;19144.4;15407.3;18398.2;31930.8;39649.6;39280.3
Warsaw;NA;NA;NA;81.2;471;861.2;2990.6;2039.8;1223.8;594.9;527.6;630.1;506.7;1630
Wiener Börse;2158.8;2780.4;1030.6;625.7;635.9;949.5;948.1;582.1;492.3;377.2;255.7;171.4;320;577.1
Australian;11373.4;16834;4527.2;488.6;357.5;99.7;179.9;106;200.3;848.7;825.3;611.6;861;1035.2
Bursa Malaysia;92.7;106;330.8;1465.8;879;375;278.2;907.6;139.1;1031.6;1563.5;287.8;287.8;389.4
Colombo;NA;NA;NA;NA;NA;NA;NA;1;4.9;7.8;5.5;1.7;3.6;1.9
Hong Kong;33.2;31.1;36;7.4;0.2;47.2;41;23.2;14.2;17.7;7.6;4.9;3.3;2.3
Korea;4537;2767.7;773.8;6.9;1457.9;1855.1;1709.5;4102.6;11383.1;247176.6;23893;10991;43333.9;176394.4
Mumbai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.6;100;171.5
National Stock Exchange India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;181368.1;221549.8;288255.1
New Zealand;;;;;39.2;21.9;27.9;26.2;131.3;469.1;670.6;556.7;695.2;1068.3
Osaka;74411.3;48614.8;23641.6;31557.5;26716.2;42121;26980.8;17592.2;4412.6;4324;3316.6;3467.9;3626.4;2585.7
Philippine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1.5;1.5;0.3
Shanghai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50418.2;77716.2;70271.5
Shenzhen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7535.4;28980.6;6523.7
Singapore;1354.1;1591;925.5;4894.6;7003.2;3976.8;2840.2;3883.4;876.4;3908.7;1238.6;556;291.4;539.9
Taiwan;225.3;247.2;151.7;98;303.1;70.4;365.3;683;1226.7;1682.7;1636.6;709.1;554.7;288.5
Thailand;27.6;9.1;4.7;45.3;21.9;3.5;0;0.03;0.09;0;NA;NA;0;2.1
Tokyo;393511.8;230340;116857.9;185339.1;141042.6;218719.8;179687;138031.2;68225.8;49553.2;32363.6;19808.4;15158.8;9236.7
