Exchange;End 1990;End 1991;End 1992;End 1993;End 1994;End 1995;End 1996;End 1997;End 1998;End 1999;End 2000;End 2001;End 2002;End 2003
Amex;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;225.5;173.7;295
Bermuda;NA;NA;NA;NA;NA;NA;NA;NA;1.9;2.1;1.5;4.9;4.9;0
Buenos Aires;1227.9;1499;1356.2;7787.4;13817.7;66428.1;131706.7;68348.8;35780.3;34165.4;28816.3;17071.6;12297.5;11479.5
Lima;NA;NA;NA;NA;152.3;204;1462.2;2468.2;2061.8;977.5;713.4;1723.1;1350.8;1091.4
Mexico;4447.3;7204.5;NA;17525.2;14530.5;7690.9;2783.9;944;944.6;380.3;531.7;769.1;802.1;895.1
Nasdaq;NA;NA;473.6;1175.9;63.7;56.8;46;440.5;121.5;13.3;4.7;2.6;NA;NA
NYSE;10892.7;12698.1;11629;9752.2;7197.2;6983.3;5532.5;5063.3;3835.5;3220.3;2349.2;2674.5;3634.5;2503
Santiago;12509.4;12266.9;19447.2;21850.9;17677.9;21381.1;8164.3;9952.3;7592;9295.6;13810.1;17983.7;22526.7;24356
Sao Paulo;NA;NA;NA;NA;NA;NA;NA;NA;743.2;561.9;102.5;151;715.5;369.9
TSX Group;NA;NA;87.9;NA;993.6;721.3;740.1;925.9;392.2;366.3;680;518.9;2541.7;3792.9
Athens;NA;NA;NA;NA;20.6;9.9;13.1;67.3;435.2;14.3;9.1;16.6;12.3;55.8
Borsa Italiana;NA;NA;NA;NA;2504763.6;4216918.8;5870332.5;6144138.3;3996894.1;175277.9;140886.8;122328.6;154077.4;168236.7
Budapest;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2409.3;699.2;1274.6;1629.6
Copenhagen;318732.7;369837.3;810674.2;1724864.4;1009903.3;1039813.8;1165432.5;1073363.6;1294248.7;1016816;692283.3;665889.3;752958.3;1052359.4
Deutsche Börse;603929.3;687851.9;1015295.3;1468925.3;1700895;2236858.8;2172728.5;1509913.2;1565333.7;1135782.6;163796.3;514643.3;412553.5;459512.9
Euronext;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19680.6;26673.2
Euronext Amsterdam ;56006.9;62013.9;127120;205780.1;234716;302535;390445.6;281242.3;309412.5;318205.1;246047.4;NA;NA;NA
Euronext Brussels;7215.5;1938.1;1988.2;1811.4;746.4;835.9;692.6;557;644.6;564.6;374.6;NA;NA;NA
Euronext Paris;601706.4;617167.1;817205.3;1268232.2;1241480.3;1139705.3;1264949.4;869352.1;472324.6;58949.9;45423.9;NA;NA;NA
Helsinki;1252.1;317.4;3411.7;10419;418.5;248.2;117.4;93.6;69;32.5;7.5;16.5;13.8;47.5
Irish;NA;NA;NA;NA;NA;NA;NA;82276.8;52349.2;58590.1;20707.1;19525.9;44264.8;42337.1
Istanbul;NA;NA;2553.8;10911.1;6226.3;15726.1;32313.4;35096.6;67451.4;82186.9;263845;100818.8;139267.6;226155.2
Lisbon;NA;NA;NA;13644.9;18855.3;14393.9;14571.4;12941.5;7234;3770.5;2542;1451.5;NA;NA
