Hong Kong;34676.1;38596.7;78644.5;132286.5;126057.1;95832;166428.5;453657.1;206152.6;230032.2;376664.1;241012.6;194003.6;296155.9
Jakarta;3967.5;2962.8;3918.1;9088.4;11787.5;14403.2;32452.3;42604.9;10636.6;17241.3;15109.3;9410.3;13049.8;14652.4
Korea;75625.1;85091.8;116138.2;211968.4;286829.4;185427.5;177506.3;170825.9;145061.4;733422.7;556246.3;379623.3;596631.6;459035.1
Mumbai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100638.4;68538.6;89110.3
National Stock Exchange India;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;147244.3;128534.6;202865.2
New Zealand;2071.7;3106.9;3275.6;6801.5;7188;8718.7;10139.2;10724.8;14273.9;13687.2;12315.3;9932.9;8878.3;11912.8
Osaka;243822.9;138548.7;120936.3;131998.8;191182.9;262053.9;253118.7;221989.9;182093.3;216028.5;325566.3;174509.5;124017.4;112522
Philippine;1175.1;1434.1;3019.4;9853.3;13934.4;14666.8;25510.4;20350;10148.3;19949.7;8186.7;3128.9;3092.7;2672.6
Shanghai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;290657.5;211643.9;255964.7
Shenzhen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;203073;140660.6;140287.3
Singapore;21069.6;18083.7;18905.9;83529.4;84821.9;63983.2;60254.8;74137.3;58509.6;107406.5;95153.1;71093.6;63047.8;91928.2
Taiwan;711737;386031.2;250330.8;352624.4;736708.4;389272.7;478355.7;1308633.5;895985.4;913609.9;985863.5;541901.7;633632.3;591717.6
Thailand;15736.5;19678.1;72103.8;88797.5;81961.4;59303.3;51396.9;24598.7;20975.8;37245.8;21117;30810.9;41288.9;102420.8
Tokyo;1287694.2;822973.5;476976.7;792976.6;859896.4;884000.4;938822.1;896054.9;750825.2;1675640.6;2315501.8;1659908.7;1564243.9;2108732.1
